SKU;model;brand;product;description;long_description;width;width_unit;depth;depth_unit;height;height_unit;weight;weight_unit;price;sale_price;currency;stock;stock_status;category;tags;EAN;tax_class;shipping_class;product_type;parent_SKU;attribute_1_name;attribute_1_value;attribute_2_name;attribute_2_value;attribute_3_name;attribute_3_value;attribute_4_name;attribute_4_value;attribute_5_name;attribute_5_value;attribute_6_name;attribute_6_value;status;video_url;image;image_2;image_3;datasheet_url;manual_url;technicalmanual_url;drawing_url;catalogue_url;photo_url;card_url;brandcatalogue_url;price_url
ASTROLAB_2_MB_TC;ASTROLAB_2_MB_TC;FIAMMA;Coffee Espresso Machine;Multiboiler espresso machine with 2 groups, delivering top thermal stability and elegant design without pressure profiling.;Optional: Small cups (low groups)(free of charge), 360º knobs (charged). Customisation (charged):front frame, front panel work surface, back frame, back panel, side panels, steam top lever knobs, steam knob frame, portafilter handle top, group cover, cup warmer rim, back feet covers, front feet. ;820;mm;630;mm;510;mm;73;Kg;9995;;EUR;;instock;bar>coffee;bar, espresso, coffee;;;;simple;;Boiler technology;Multi boiler;Extraction;Built in rotary pump;Steam boiler capacity (liters);10.5;;;;;;;active;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_video_ASTROLAB_2_MB_TC.mp4;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_ASTROLAB_2_MB_TC.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_2_ASTROLAB_2_MB_TC.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_3_ASTROLAB_2_MB_TC.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_datasheet_ASTROLAB_2_MB_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_manual_ASTROLAB_2_MB_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_technicalmanual_ASTROLAB_2_MB_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_drawing_ASTROLAB_2_MB_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_catalogue_ASTROLAB_2_MB_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_photo_ASTROLAB_2_MB_TC.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_card_ASTROLAB_2_MB_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_price.pdf
ASTROLAB_2_PP_TC;ASTROLAB_2_PP_TC;FIAMMA;Coffee Espresso Machine;Multiboiler espresso machine with pressure profiling and dual group heads, advanced extraction control via e-lever and touchscreen.;Optional: Small cups (low groups)(free of charge), 360º knobs (charged). Customisation (charged):front frame, front panel work surface, back frame, back panel, side panels, steam top lever knobs, steam knob frame, e-levers, portafilter handle top, group cover, cup warmer rim, back feet covers, front feet. ;820;mm;630;mm;545;mm;76;Kg;14400;;EUR;;instock;bar>coffee;bar, espresso, coffee;;;;simple;;Boiler technology;Multi boiler;Extraction;Variable pressure independent pump;Steam boiler capacity (liters);10.5;;;;;;;active;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_video_ASTROLAB_2_PP_TC.mp4;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_ASTROLAB_2_PP_TC.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_2_ASTROLAB_2_PP_TC.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_3_ASTROLAB_2_PP_TC.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_datasheet_ASTROLAB_2_PP_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_manual_ASTROLAB_2_PP_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_technicalmanual_ASTROLAB_2_PP_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_drawing_ASTROLAB_2_PP_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_catalogue_ASTROLAB_2_PP_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_photo_ASTROLAB_2_PP_TC.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_card_ASTROLAB_2_PP_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_price.pdf
ASTROLAB_3_MB_TC;ASTROLAB_3_MB_TC;FIAMMA;Coffee Espresso Machine;Three-group multiboiler espresso machine without pressure profiling, optimized for volume with stable performance.;Optional: Small cups (low groups)(free of charge), 360º knobs (charged). Customisation (charged):front frame, front panel work surface, back frame, back panel, side panels, steam top lever knobs, steam knob frame, portafilter handle top, group cover, cup warmer rim, back feet covers, front feet. ;1050;mm;630;mm;510;mm;88;Kg;12050;;EUR;;instock;bar>coffee;bar, espresso, coffee;;;;simple;;Boiler technology;Multi boiler;Extraction;Built in rotary pump;Steam boiler capacity (liters);11;;;;;;;active;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_video_ASTROLAB_3_MB_TC.mp4;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_ASTROLAB_3_MB_TC.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_2_ASTROLAB_3_MB_TC.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_3_ASTROLAB_3_MB_TC.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_datasheet_ASTROLAB_3_MB_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_manual_ASTROLAB_3_MB_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_technicalmanual_ASTROLAB_3_MB_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_drawing_ASTROLAB_3_MB_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_catalogue_ASTROLAB_3_MB_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_photo_ASTROLAB_3_MB_TC.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_card_ASTROLAB_3_MB_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_price.pdf
ASTROLAB_3_PP_TC;ASTROLAB_3_PP_TC;FIAMMA;Coffee Espresso Machine;Three-group multiboiler espresso machine with pressure profiling and touchscreen control, designed for precision baristas.;Optional: Small cups (low groups)(free of charge), 360º knobs (charged). Customisation (charged):front frame, front panel work surface, back frame, back panel, side panels, steam top lever knobs, steam knob frame, e-levers, portafilter handle top, group cover, cup warmer rim, back feet covers, front feet. ;1050;mm;630;mm;545;mm;92;Kg;17550;;EUR;;instock;bar>coffee;bar, espresso, coffee;;;;simple;;Boiler technology;Multi boiler;Extraction;Variable pressure independent pump;Steam boiler capacity (liters);12;;;;;;;active;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_video_ASTROLAB_3_PP_TC.mp4;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_ASTROLAB_3_PP_TC.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_2_ASTROLAB_3_PP_TC.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_3_ASTROLAB_3_PP_TC.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_datasheet_ASTROLAB_3_PP_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_manual_ASTROLAB_3_PP_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_technicalmanual_ASTROLAB_3_PP_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_drawing_ASTROLAB_3_PP_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_catalogue_ASTROLAB_3_PP_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_photo_ASTROLAB_3_PP_TC.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_card_ASTROLAB_3_PP_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_price.pdf
CARAVEL_1_CV_TC_black;CARAVEL_1_CV_TC_black;FIAMMA;Coffee Espresso Machine;Compact single-boiler espresso machine with electronic portioning, designed for efficiency and style.;Optional: Small cups ( low groups)( free of charge), cool touch touch steam wands, LED for work area, 110V (charged). Customisation (charged): full stainless steel body, colours. ;475;mm;563;mm;530;mm;45;Kg;2565;;EUR;;instock;bar>coffee;bar, espresso, coffee;;;;simple;;Boiler technology;Single boiler with heat exchanger;Extraction;;Steam boiler capacity (liters);5;;;;;;;active;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_video_CARAVEL_1_CV_TC.mp4;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_CARAVEL_1_CV_TC_black.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_2_CARAVEL_1_CV_TC_black.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_3_CARAVEL_1_CV_TC_black.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_datasheet_CARAVEL_1_CV_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_manual_CARAVEL_1_CV_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_technicalmanual_CARAVEL_1_CV_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_drawing_CARAVEL_1_CV_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_catalogue_CARAVEL_1_CV_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_photo_CARAVEL_1_CV_TC.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_card_CARAVEL_1_CV_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_price.pdf
CARAVEL_1_CV_TC_white;CARAVEL_1_CV_TC_white;FIAMMA;Coffee Espresso Machine;Compact single-boiler espresso machine with electronic portioning, designed for efficiency and style.;Optional: Small cups ( low groups)( free of charge), cool touch touch steam wands, LED for work area, 110V (charged). Customisation (charged): full stainless steel body, colours. ;475;mm;563;mm;530;mm;45;Kg;2565;;EUR;;instock;bar>coffee;bar, espresso, coffee;;;;simple;;Boiler technology;Single boiler with heat exchanger;Extraction;;Steam boiler capacity (liters);5;;;;;;;active;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_video_CARAVEL_1_CV_TC.mp4;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_CARAVEL_1_CV_TC_white.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_2_CARAVEL_1_CV_TC_white.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_3_CARAVEL_1_CV_TC_white.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_datasheet_CARAVEL_1_CV_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_manual_CARAVEL_1_CV_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_technicalmanual_CARAVEL_1_CV_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_drawing_CARAVEL_1_CV_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_catalogue_CARAVEL_1_CV_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_photo_CARAVEL_1_CV_TC.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_card_CARAVEL_1_CV_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_price.pdf
CARAVEL_1_TC_black;CARAVEL_1_TC_black;FIAMMA;Coffee Espresso Machine;Semi-automatic single-boiler espresso machine, compact and powerful for small spaces.;Optional: Small cups ( low groups)( free of charge), cool touch touch steam wands, LED for work area, 110V (charged). Customisation (charged): full stainless steel body, colours. ;475;mm;563;mm;530;mm;45;Kg;2380;;EUR;;instock;bar>coffee;bar, espresso, coffee;;;;simple;;Boiler technology;Single boiler with heat exchanger;Extraction;;Steam boiler capacity (liters);5;;;;;;;active;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_video_CARAVEL_1_TC.mp4;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_CARAVEL_1_TC_black.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_2_CARAVEL_1_TC_black.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_3_CARAVEL_1_TC_black.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_datasheet_CARAVEL_1_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_manual_CARAVEL_1_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_technicalmanual_CARAVEL_1_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_drawing_CARAVEL_1_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_catalogue_CARAVEL_1_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_photo_CARAVEL_1_TC.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_card_CARAVEL_1_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_price.pdf
CARAVEL_1_TC_white;CARAVEL_1_TC_white;FIAMMA;Coffee Espresso Machine;Semi-automatic single-boiler espresso machine, compact and powerful for small spaces.;Optional: Small cups ( low groups)( free of charge), cool touch touch steam wands, LED for work area, 110V (charged). Customisation (charged): full stainless steel body, colours. ;475;mm;563;mm;530;mm;45;Kg;2380;;EUR;;instock;bar>coffee;bar, espresso, coffee;;;;simple;;Boiler technology;Single boiler with heat exchanger;Extraction;;Steam boiler capacity (liters);5;;;;;;;active;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_video_CARAVEL_1_TC.mp4;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_CARAVEL_1_TC_white.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_2_CARAVEL_1_TC_white.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_3_CARAVEL_1_TC_white.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_datasheet_CARAVEL_1_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_manual_CARAVEL_1_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_technicalmanual_CARAVEL_1_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_drawing_CARAVEL_1_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_catalogue_CARAVEL_1_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_photo_CARAVEL_1_TC.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_card_CARAVEL_1_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_price.pdf
CARAVEL_2_COMPACT_TC_black;CARAVEL_2_COMPACT_TC_black;FIAMMA;Coffee Espresso Machine;Two-group compact espresso machine, semi-automatic with heat exchanger for high output in small footprint.;Optional: Small cups ( low groups) ( free of charge), cool touch touch steam wands, LED for work area, extra manometer, 110V (charged). Customisation (charged): full stainless steel body, colours. ;475;mm;563;mm;530;mm;52,5;Kg;2755;;EUR;;instock;bar>coffee;bar, espresso, coffee;;;;simple;;Boiler technology;Single boiler with heat exchanger;Extraction;;Steam boiler capacity (liters);6.5;;;;;;;active;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_video_CARAVEL_2_COMPACT_TC.mp4;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_CARAVEL_2_COMPACT_TC_black.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_2_CARAVEL_2_COMPACT_TC_black.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_3_CARAVEL_2_COMPACT_TC_black.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_datasheet_CARAVEL_2_COMPACT_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_manual_CARAVEL_2_COMPACT_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_technicalmanual_CARAVEL_2_COMPACT_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_drawing_CARAVEL_2_COMPACT_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_catalogue_CARAVEL_2_COMPACT_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_photo_CARAVEL_2_COMPACT_TC.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_card_CARAVEL_2_COMPACT_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_price.pdf
CARAVEL_2_COMPACT_TC_white;CARAVEL_2_COMPACT_TC_white;FIAMMA;Coffee Espresso Machine;Two-group compact espresso machine, semi-automatic with heat exchanger for high output in small footprint.;Optional: Small cups ( low groups) ( free of charge), cool touch touch steam wands, LED for work area, extra manometer, 110V (charged). Customisation (charged): full stainless steel body, colours. ;475;mm;563;mm;530;mm;52,5;Kg;2755;;EUR;;instock;bar>coffee;bar, espresso, coffee;;;;simple;;Boiler technology;Single boiler with heat exchanger;Extraction;;Steam boiler capacity (liters);6.5;;;;;;;active;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_video_CARAVEL_2_COMPACT_TC.mp4;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_CARAVEL_2_COMPACT_TC_white.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_2_CARAVEL_2_COMPACT_TC_white.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_image_3_CARAVEL_2_COMPACT_TC_white.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_datasheet_CARAVEL_2_COMPACT_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_manual_CARAVEL_2_COMPACT_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_technicalmanual_CARAVEL_2_COMPACT_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_drawing_CARAVEL_2_COMPACT_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_catalogue_CARAVEL_2_COMPACT_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_photo_CARAVEL_2_COMPACT_TC.jpg;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_card_CARAVEL_2_COMPACT_TC.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_brandcatalogue.pdf;https://raw.githubusercontent.com/cooknation/fiamma/refs/heads/main/fiamma_price.pdf
